Player,Team,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Ben McLemore,HOU,8/12/20,2019-20,L,28,7,2,9,22.2,2,8,25,1,2,50,0,1,1,0,1,2,1,1,-3
Austin Rivers,HOU,8/12/20,2019-20,L,31,3,1,9,11.1,1,5,20,0,0,-,1,8,9,3,2,0,3,5,-18
DeMarre Carroll,HOU,8/12/20,2019-20,L,13,3,0,2,0,0,2,0,3,4,75,0,3,3,3,1,0,0,2,-3
Eric Gordon,HOU,8/12/20,2019-20,L,20,13,5,15,33.3,1,9,11.1,2,2,100,1,3,4,0,1,0,6,1,-6
Jeff Green,HOU,8/12/20,2019-20,L,30,14,5,12,41.7,0,4,0,4,4,100,1,2,3,1,0,1,1,3,-16
Goga Bitadze,IND,8/12/20,2019-20,W,17,4,2,6,33.3,0,0,-,0,0,-,1,2,3,0,2,1,1,2,10
Alize Johnson,IND,8/12/20,2019-20,W,17,2,1,3,33.3,0,1,0,0,0,-,0,8,8,0,3,1,0,2,6
Edmond Sumner,IND,8/12/20,2019-20,W,24,17,6,11,54.5,2,3,66.7,3,6,50,1,3,4,4,0,1,1,3,13
James Harden,HOU,8/12/20,2019-20,L,35,45,13,21,61.9,7,14,50,12,14,85.7,1,16,17,9,3,0,6,2,11
P.J. Tucker,HOU,8/12/20,2019-20,L,28,3,1,6,16.7,1,4,25,0,0,-,1,3,4,2,0,1,1,2,9
Norvel Pelle,PHI,8/11/20,2019-20,L,16,4,2,4,50,0,0,-,0,0,-,3,2,5,1,0,2,2,5,-4
Raul Neto,PHI,8/11/20,2019-20,L,25,22,9,18,50,3,7,42.9,1,2,50,0,2,2,4,0,0,2,1,-11
Kyle O'Quinn,PHI,8/11/20,2019-20,L,32,9,4,6,66.7,0,0,-,1,1,100,1,9,10,11,2,1,1,0,-12
Alec Burks,PHI,8/11/20,2019-20,L,28,23,9,17,52.9,2,5,40,3,4,75,0,2,2,4,1,0,0,1,-2
Ricky Rubio,PHX,8/11/20,2019-20,W,28,16,6,11,54.5,2,5,40,2,2,100,0,5,5,10,0,1,2,4,-4
Matisse Thybulle,PHI,8/11/20,2019-20,L,29,7,3,4,75,1,2,50,0,0,-,1,1,2,0,0,1,0,5,-9
Mikal Bridges,PHX,8/11/20,2019-20,W,33,24,8,10,80,3,5,60,5,5,100,0,2,2,1,2,2,0,1,7
Devin Booker,PHX,8/11/20,2019-20,W,41,35,11,24,45.8,2,4,50,11,12,91.7,2,7,9,7,1,0,2,0,14
Deandre Ayton,PHX,8/11/20,2019-20,W,32,8,4,10,40,0,2,0,0,0,-,3,9,12,2,0,0,0,1,5
Cameron Johnson,PHX,8/11/20,2019-20,W,31,6,3,10,30,0,4,0,0,0,-,0,1,1,0,0,0,0,1,6
Jevon Carter,PHX,8/11/20,2019-20,W,19,3,1,1,100,1,1,100,0,0,-,1,1,2,1,0,0,0,2,9
Cameron Payne,PHX,8/11/20,2019-20,W,19,7,3,6,50,1,2,50,0,0,-,1,1,2,3,0,0,2,5,17
Frank Kaminsky,PHX,8/11/20,2019-20,W,12,13,6,8,75,1,3,33.3,0,0,-,1,1,2,0,1,0,0,2,8
Dario Saric,PHX,8/11/20,2019-20,W,24,18,7,9,77.8,2,2,100,2,2,100,3,6,9,4,0,0,1,2,3
Shake Milton,PHI,8/11/20,2019-20,L,31,8,4,12,33.3,0,2,0,0,0,-,1,1,2,7,0,0,0,3,-7
Furkan Korkmaz,PHI,8/11/20,2019-20,L,32,12,3,11,27.3,3,7,42.9,3,4,75,0,0,0,0,1,0,1,2,-16
Glenn Robinson III,PHI,8/11/20,2019-20,L,25,15,5,9,55.6,3,6,50,2,3,66.7,3,4,7,0,0,0,1,2,-7
Mike Scott,PHI,8/11/20,2019-20,L,22,17,7,12,58.3,3,4,75,0,0,-,2,2,4,1,1,0,1,1,3
Robert Covington,HOU,8/11/20,2019-20,L,29,6,2,9,22.2,0,6,0,2,3,66.7,2,7,9,3,4,2,3,3,-7
Ben McLemore,HOU,8/11/20,2019-20,L,27,16,6,16,37.5,4,12,33.3,0,0,-,0,3,3,1,0,0,1,5,-17
Austin Rivers,HOU,8/11/20,2019-20,L,29,13,5,12,41.7,1,4,25,2,2,100,0,6,6,1,1,0,2,2,-29
DeMarre Carroll,HOU,8/11/20,2019-20,L,21,6,2,5,40,0,1,0,2,2,100,1,0,1,3,2,1,0,0,-7
Jeff Green,HOU,8/11/20,2019-20,L,31,17,6,9,66.7,1,4,25,4,4,100,0,4,4,2,0,0,1,2,-13
Rudy Gay,SAS,8/11/20,2019-20,W,18,13,5,11,45.5,3,6,50,0,0,-,0,5,5,1,1,0,0,3,15
Keldon Johnson,SAS,8/11/20,2019-20,W,26,24,8,12,66.7,3,3,100,5,5,100,1,10,11,3,0,0,2,1,21
Drew Eubanks,SAS,8/11/20,2019-20,W,15,4,1,4,25,0,0,-,2,2,100,3,4,7,0,0,1,2,1,-4
Derrick White,SAS,8/11/20,2019-20,W,26,7,2,9,22.2,1,8,12.5,2,2,100,0,2,2,6,0,0,3,2,2
Dejounte Murray,SAS,8/11/20,2019-20,W,29,11,5,10,50,1,3,33.3,0,0,-,0,2,2,7,2,0,3,2,15
P.J. Tucker,HOU,8/11/20,2019-20,L,27,3,1,5,20,1,5,20,0,0,-,1,0,1,1,1,0,1,2,-11
Lonnie Walker IV,SAS,8/11/20,2019-20,W,30,12,4,12,33.3,2,6,33.3,2,2,100,0,7,7,3,2,0,5,2,11
Chimezie Metu,SAS,8/11/20,2019-20,W,6,2,1,1,100,0,0,-,0,0,-,0,1,1,0,1,1,3,1,-9
Jakob Poeltl,SAS,8/11/20,2019-20,W,28,14,6,7,85.7,0,0,-,2,3,66.7,3,9,12,1,1,1,1,2,25
DeMar DeRozan,SAS,8/11/20,2019-20,W,28,23,9,13,69.2,0,0,-,5,6,83.3,0,6,6,4,2,1,0,1,19
Marco Belinelli,SAS,8/11/20,2019-20,W,21,13,5,11,45.5,3,5,60,0,0,-,2,2,4,1,1,0,1,1,9
Chris Clemons,HOU,8/11/20,2019-20,L,16,13,3,8,37.5,3,7,42.9,4,4,100,0,3,3,1,2,0,0,2,-4
Michael Frazier,HOU,8/11/20,2019-20,L,20,6,1,5,20,1,4,25,3,4,75,0,4,4,0,0,0,2,0,-5
Luka Samanic,SAS,8/11/20,2019-20,W,5,0,0,2,0,0,1,0,0,0,-,0,2,2,0,0,1,1,2,-8
Quinndary Weatherspoon,SAS,8/11/20,2019-20,W,8,0,0,1,0,0,0,-,0,0,-,0,0,0,2,0,0,1,2,-6
Bruno Caboclo,HOU,8/11/20,2019-20,L,6,5,2,3,66.7,1,1,100,0,0,-,0,1,1,0,1,0,0,2,9
Luc Mbah a Moute,HOU,8/11/20,2019-20,L,6,0,0,0,-,0,0,-,0,0,-,0,0,0,0,2,0,1,0,9
Russell Westbrook,HOU,8/11/20,2019-20,L,28,20,8,17,47.1,2,4,50,2,2,100,0,5,5,6,1,0,7,1,-15
Justin Anderson,BKN,8/11/20,2019-20,W,31,2,1,15,6.7,0,12,0,0,1,0,0,5,5,2,0,1,2,3,9
Markelle Fultz,ORL,8/11/20,2019-20,L,22,18,7,18,38.9,1,4,25,3,3,100,2,3,5,2,2,0,3,2,-8
Melvin Frazier Jr.,ORL,8/11/20,2019-20,L,27,4,2,4,50,0,1,0,0,0,-,1,0,1,0,1,0,0,1,-8
Dzanan Musa,BKN,8/11/20,2019-20,W,35,17,5,15,33.3,2,7,28.6,5,8,62.5,1,5,6,6,1,0,4,2,15
BJ Johnson,ORL,8/11/20,2019-20,L,19,8,2,8,25,0,1,0,4,4,100,2,5,7,1,1,0,2,1,6
Vic Law,ORL,8/11/20,2019-20,L,25,4,2,6,33.3,0,3,0,0,0,-,1,3,4,1,1,0,1,3,3
Jeremiah Martin,BKN,8/11/20,2019-20,W,27,24,8,15,53.3,1,4,25,7,8,87.5,0,2,2,6,1,0,1,2,-1
Donta Hall,BKN,8/11/20,2019-20,W,31,10,5,7,71.4,0,0,-,0,0,-,3,6,9,1,1,2,1,5,3
Lance Thomas,BKN,8/11/20,2019-20,W,24,12,4,5,80,3,4,75,1,1,100,1,2,3,1,0,0,2,3,4
Khem Birch,ORL,8/11/20,2019-20,L,27,12,4,7,57.1,0,0,-,4,4,100,4,5,9,2,2,0,1,2,-16
Tyler Johnson,BKN,8/11/20,2019-20,W,22,14,5,10,50,2,3,66.7,2,2,100,1,2,3,5,0,0,0,1,7
Timothe Luwawu-Cabarrot,BKN,8/11/20,2019-20,W,24,24,8,12,66.7,4,8,50,4,4,100,0,7,7,0,1,0,3,0,8
Rodions Kurucs,BKN,8/11/20,2019-20,W,25,2,1,4,25,0,2,0,0,0,-,1,8,9,0,1,1,0,2,2
Chris Chiozza,BKN,8/11/20,2019-20,W,21,3,1,6,16.7,1,3,33.3,0,0,-,1,2,3,5,4,0,0,2,13
D.J. Augustin,ORL,8/11/20,2019-20,L,22,6,1,8,12.5,0,3,0,4,4,100,0,1,1,3,0,0,2,3,-5
Nikola Vucevic,ORL,8/11/20,2019-20,L,21,12,5,15,33.3,2,5,40,0,0,-,1,9,10,1,1,0,2,2,4
James Ennis III,ORL,8/11/20,2019-20,L,23,12,3,4,75,2,2,100,4,6,66.7,0,5,5,0,1,1,3,4,-15
Wes Iwundu,ORL,8/11/20,2019-20,L,30,18,5,11,45.5,2,3,66.7,6,8,75,0,5,5,3,0,0,2,5,-6
Gary Clark,ORL,8/11/20,2019-20,L,23,2,1,2,50,0,1,0,0,0,-,1,1,2,0,0,2,1,1,-15
Thomas Bryant,WAS,8/11/20,2019-20,L,26,13,5,9,55.6,2,3,66.7,1,1,100,3,5,8,1,0,1,1,1,-14
Jarrod Uthoff,WAS,8/11/20,2019-20,L,3,3,1,1,100,1,1,100,0,0,-,0,0,0,0,0,0,0,0,3
Jerian Grant,WAS,8/11/20,2019-20,L,4,0,0,3,0,0,1,0,0,0,-,0,1,1,0,0,0,0,0,3
Sterling Brown,MIL,8/11/20,2019-20,W,30,23,9,16,56.3,5,8,62.5,0,0,-,1,1,2,2,1,0,3,5,-6
Frank Mason,MIL,8/11/20,2019-20,W,22,19,7,10,70,1,2,50,4,7,57.1,0,5,5,6,2,0,1,3,0
Thanasis Antetokounmpo,MIL,8/11/20,2019-20,W,18,8,4,8,50,0,1,0,0,0,-,1,3,4,4,0,0,0,1,-4
Giannis Antetokounmpo,MIL,8/11/20,2019-20,W,10,12,1,3,33.3,0,0,-,10,12,83.3,2,7,9,1,1,0,3,2,12
Robin Lopez,MIL,8/11/20,2019-20,W,21,8,3,6,50,1,1,100,1,2,50,1,3,4,1,0,0,2,3,2
Ersan Ilyasova,MIL,8/11/20,2019-20,W,22,3,1,6,16.7,1,5,20,0,0,-,1,3,4,0,0,0,0,2,6
Admiral Schofield,WAS,8/11/20,2019-20,L,14,7,2,5,40,2,5,40,1,2,50,0,3,3,0,0,1,0,3,-3
Johnathan Williams,WAS,8/11/20,2019-20,L,3,1,0,0,-,0,0,-,1,2,50,1,1,2,0,0,0,0,1,3
