Player,Team,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Tyler Herro,MIA,2/3/20,2019-20,W,10,2,1,6,16.7,0,2,0,0,0,-,0,0,0,1,0,0,0,0,4
Chris Silva,MIA,2/3/20,2019-20,W,4,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,0,2,-2
Al Horford,PHI,2/3/20,2019-20,L,22,6,2,5,40,2,3,66.7,0,0,-,1,3,4,1,0,0,1,0,-24
Tobias Harris,PHI,2/3/20,2019-20,L,25,6,3,12,25,0,6,0,0,0,-,1,4,5,2,0,0,0,1,-8
Kyle O'Quinn,PHI,2/3/20,2019-20,L,4,6,2,3,66.7,0,0,-,2,3,66.7,4,0,4,1,0,0,0,0,2
Furkan Korkmaz,PHI,2/3/20,2019-20,L,16,6,2,8,25,2,7,28.6,0,0,-,0,2,2,2,0,0,1,4,-3
Matisse Thybulle,PHI,2/3/20,2019-20,L,15,3,1,1,100,1,1,100,0,0,-,0,1,1,1,0,1,0,3,-4
Zhaire Smith,PHI,2/3/20,2019-20,L,4,2,1,3,33.3,0,0,-,0,0,-,0,0,0,0,1,0,0,0,2
Raul Neto,PHI,2/3/20,2019-20,L,8,0,0,5,0,0,3,0,0,0,-,2,1,3,0,0,0,1,1,1
John Henson,CLE,2/3/20,2019-20,L,18,9,4,4,100,0,0,-,1,1,100,1,2,3,3,1,0,1,4,0
Matthew Dellavedova,CLE,2/3/20,2019-20,L,6,0,0,1,0,0,1,0,0,0,-,0,0,0,0,0,0,1,0,3
Dante Exum,CLE,2/3/20,2019-20,L,16,4,2,4,50,0,0,-,0,2,0,1,2,3,2,1,0,0,0,-9
Kevin Porter Jr.,CLE,2/3/20,2019-20,L,24,12,4,8,50,2,2,100,2,6,33.3,0,0,0,3,2,0,2,1,-3
Taj Gibson,NYK,2/3/20,2019-20,W,13,8,4,6,66.7,0,0,-,0,0,-,2,1,3,1,0,1,0,0,-4
Reggie Bullock,NYK,2/3/20,2019-20,W,25,7,3,6,50,1,4,25,0,0,-,1,3,4,1,1,0,0,1,-2
Dennis Smith Jr.,NYK,2/3/20,2019-20,W,20,15,6,11,54.5,1,1,100,2,6,33.3,0,3,3,6,4,0,2,2,1
Damyean Dotson,NYK,2/3/20,2019-20,W,16,9,3,6,50,1,2,50,2,2,100,0,1,1,2,1,0,0,1,2
Kevin Knox II,NYK,2/3/20,2019-20,W,17,12,5,8,62.5,2,4,50,0,0,-,0,4,4,1,0,0,1,1,1
Mitchell Robinson,NYK,2/3/20,2019-20,W,15,4,2,2,100,0,0,-,0,0,-,0,2,2,1,1,0,1,3,9
Julius Randle,NYK,2/3/20,2019-20,W,38,20,9,16,56.3,0,2,0,2,2,100,2,6,8,3,2,0,3,3,-4
Marcus Morris Sr.,NYK,2/3/20,2019-20,W,36,26,8,15,53.3,2,4,50,8,8,100,1,1,2,1,0,0,1,3,-1
Kevin Love,CLE,2/3/20,2019-20,L,41,33,12,20,60,4,9,44.4,5,5,100,1,12,13,6,0,1,1,4,-1
Frank Ntilikina,NYK,2/3/20,2019-20,W,23,9,4,7,57.1,1,3,33.3,0,0,-,1,6,7,2,0,0,1,1,12
Larry Nance Jr.,CLE,2/3/20,2019-20,L,42,18,8,13,61.5,2,5,40,0,0,-,1,7,8,6,0,1,2,1,-12
Darius Garland,CLE,2/3/20,2019-20,L,39,14,5,10,50,4,7,57.1,0,0,-,0,1,1,5,1,1,1,1,-9
Cedi Osman,CLE,2/3/20,2019-20,L,38,15,6,10,60,3,6,50,0,0,-,0,4,4,2,0,0,4,5,6
Elfrid Payton,NYK,2/3/20,2019-20,W,33,17,8,17,47.1,0,1,0,1,3,33.3,5,6,11,15,1,0,1,1,4
Collin Sexton,CLE,2/3/20,2019-20,L,40,29,11,22,50,3,5,60,4,4,100,1,1,2,7,1,0,2,2,0
Bobby Portis,NYK,2/3/20,2019-20,W,28,12,5,8,62.5,2,5,40,0,0,-,0,1,1,0,1,0,2,2,7
Patty Mills,SAS,2/3/20,2019-20,L,25,18,6,13,46.2,6,13,46.2,0,0,-,0,2,2,2,1,0,0,2,3
Rudy Gay,SAS,2/3/20,2019-20,L,15,4,2,5,40,0,2,0,0,0,-,0,3,3,2,0,0,0,2,2
JaMychal Green,LAC,2/3/20,2019-20,W,17,9,3,9,33.3,3,7,42.9,0,2,0,1,6,7,0,0,0,0,1,-10
Rodney McGruder,LAC,2/3/20,2019-20,W,13,2,1,2,50,0,1,0,0,0,-,0,5,5,0,0,0,0,1,-15
Lou Williams,LAC,2/3/20,2019-20,W,23,12,3,12,25,0,1,0,6,7,85.7,0,1,1,4,0,0,1,1,-10
Bryn Forbes,SAS,2/3/20,2019-20,L,23,8,2,8,25,2,7,28.6,2,2,100,0,1,1,2,0,0,0,3,-5
Jakob Poeltl,SAS,2/3/20,2019-20,L,14,4,2,3,66.7,0,0,-,0,1,0,3,3,6,2,0,3,1,1,1
Dejounte Murray,SAS,2/3/20,2019-20,L,25,2,1,7,14.3,0,1,0,0,0,-,1,4,5,0,2,0,1,1,-8
Trey Lyles,SAS,2/3/20,2019-20,L,26,10,4,8,50,2,6,33.3,0,0,-,2,3,5,0,0,1,0,3,0
Ivica Zubac,LAC,2/3/20,2019-20,W,23,9,3,5,60,0,0,-,3,4,75,2,6,8,0,0,0,1,3,5
LaMarcus Aldridge,SAS,2/3/20,2019-20,L,34,27,9,17,52.9,2,5,40,7,7,100,0,9,9,5,0,2,1,4,-2
DeMar DeRozan,SAS,2/3/20,2019-20,L,34,26,11,23,47.8,0,0,-,4,6,66.7,0,5,5,2,2,0,3,2,-14
Kawhi Leonard,LAC,2/3/20,2019-20,W,32,22,8,17,47.1,2,3,66.7,4,4,100,1,5,6,7,1,2,3,2,13
Paul George,LAC,2/3/20,2019-20,W,31,19,6,13,46.2,1,5,20,6,7,85.7,0,12,12,8,0,0,2,2,21
Patrick Beverley,LAC,2/3/20,2019-20,W,26,12,4,8,50,4,7,57.1,0,0,-,0,4,4,5,0,0,2,2,17
Landry Shamet,LAC,2/3/20,2019-20,W,28,2,1,3,33.3,0,2,0,0,0,-,0,1,1,2,1,0,0,1,-6
Maurice Harkless,LAC,2/3/20,2019-20,W,21,7,3,4,75,1,1,100,0,0,-,1,3,4,1,1,0,1,2,1
Lonnie Walker IV,SAS,2/3/20,2019-20,L,21,2,1,4,25,0,0,-,0,0,-,0,2,2,0,0,1,0,1,3
Derrick White,SAS,2/3/20,2019-20,L,23,4,2,7,28.6,0,3,0,0,0,-,0,8,8,6,0,2,0,1,5
Montrezl Harrell,LAC,2/3/20,2019-20,W,25,14,7,11,63.6,0,0,-,0,0,-,0,3,3,1,0,0,2,3,-1
Joe Harris,BKN,2/3/20,2019-20,W,28,16,7,13,53.8,2,5,40,0,0,-,0,4,4,2,1,0,1,0,24
Spencer Dinwiddie,BKN,2/3/20,2019-20,W,31,14,4,12,33.3,1,1,100,5,6,83.3,1,2,3,4,1,0,3,2,24
Jalen Lecque,PHX,2/3/20,2019-20,L,9,4,1,3,33.3,0,2,0,2,2,100,0,0,0,0,0,0,1,1,-9
Garrett Temple,BKN,2/3/20,2019-20,W,22,3,1,6,16.7,1,5,20,0,0,-,0,2,2,1,0,1,0,4,-1
Devin Booker,PHX,2/3/20,2019-20,L,32,11,3,15,20,1,4,25,4,5,80,0,4,4,4,1,0,4,3,-22
Wilson Chandler,BKN,2/3/20,2019-20,W,18,6,2,6,33.3,2,6,33.3,0,0,-,1,4,5,2,0,1,0,3,2
Taurean Prince,BKN,2/3/20,2019-20,W,30,15,5,10,50,3,6,50,2,2,100,0,6,6,0,1,0,2,3,20
Dzanan Musa,BKN,2/3/20,2019-20,W,3,2,1,1,100,0,0,-,0,0,-,1,0,1,0,1,0,1,1,2
Rodions Kurucs,BKN,2/3/20,2019-20,W,3,5,2,3,66.7,1,1,100,0,0,-,0,0,0,1,0,0,0,0,2
Chris Chiozza,BKN,2/3/20,2019-20,W,3,0,0,1,0,0,1,0,0,0,-,0,0,0,3,1,0,1,0,2
Kelly Oubre Jr.,PHX,2/3/20,2019-20,L,38,21,8,18,44.4,3,4,75,2,5,40,0,5,5,1,0,0,2,4,-20
Elie Okobo,PHX,2/3/20,2019-20,L,28,5,2,2,100,1,1,100,0,0,-,0,4,4,5,0,0,2,2,-7
DeAndre Jordan,BKN,2/3/20,2019-20,W,22,8,3,3,100,0,0,-,2,2,100,2,7,9,5,0,0,2,3,6
Caris LeVert,BKN,2/3/20,2019-20,W,32,29,10,20,50,2,4,50,7,7,100,1,2,3,7,2,0,5,4,16
Jarrett Allen,BKN,2/3/20,2019-20,W,23,8,4,7,57.1,0,1,0,0,1,0,4,4,8,3,0,2,2,2,14
Ricky Rubio,PHX,2/3/20,2019-20,L,19,8,2,7,28.6,0,0,-,4,4,100,1,2,3,2,0,0,1,4,-11
Cheick Diallo,PHX,2/3/20,2019-20,L,14,6,3,5,60,0,0,-,0,0,-,1,1,2,1,1,2,2,1,-16
Mikal Bridges,PHX,2/3/20,2019-20,L,36,12,6,12,50,0,2,0,0,0,-,2,4,6,4,4,2,1,1,-13
Timothe Luwawu-Cabarrot,BKN,2/3/20,2019-20,W,25,13,4,7,57.1,3,4,75,2,3,66.7,0,3,3,0,1,1,0,4,-1
Jevon Carter,PHX,2/3/20,2019-20,L,24,3,1,4,25,1,4,25,0,0,-,2,0,2,1,0,0,0,1,-2
Deandre Ayton,PHX,2/3/20,2019-20,L,34,25,12,22,54.5,0,0,-,1,2,50,8,9,17,5,0,2,3,4,-6
Jared Harper,PHX,2/3/20,2019-20,L,4,2,1,2,50,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-2
Tariq Owens,PHX,2/3/20,2019-20,L,4,0,0,0,-,0,0,-,0,0,-,0,0,0,0,1,0,0,0,-2
Thaddeus Young,CHI,2/2/20,2019-20,L,30,21,9,12,75,3,5,60,0,1,0,2,5,7,1,2,0,4,6,-8
Tomas Satoransky,CHI,2/2/20,2019-20,L,30,8,3,11,27.3,2,6,33.3,0,0,-,1,4,5,5,0,0,1,2,-9
Zach LaVine,CHI,2/2/20,2019-20,L,33,18,6,10,60,0,1,0,6,8,75,1,6,7,7,3,0,3,2,-22
Cristiano Felicio,CHI,2/2/20,2019-20,L,16,0,0,0,-,0,0,-,0,0,-,3,1,4,0,1,0,0,0,-3
Shaquille Harrison,CHI,2/2/20,2019-20,L,4,2,0,2,0,0,1,0,2,2,100,0,2,2,1,2,0,1,1,-2
Daniel Gafford,CHI,2/2/20,2019-20,L,9,1,0,1,0,0,0,-,1,2,50,1,0,1,0,0,0,3,0,-1
Matt Thomas,TOR,2/2/20,2019-20,W,18,7,3,6,50,1,3,33.3,0,0,-,0,1,1,2,0,0,0,2,18
Luke Kornet,CHI,2/2/20,2019-20,L,23,8,3,11,27.3,1,7,14.3,1,2,50,2,3,5,1,1,0,1,2,-23
Ryan Arcidiacono,CHI,2/2/20,2019-20,L,24,12,4,10,40,3,8,37.5,1,2,50,1,0,1,2,0,0,0,0,-18
Patrick McCaw,TOR,2/2/20,2019-20,W,23,10,3,5,60,2,3,66.7,2,2,100,0,2,2,2,1,0,0,0,20
Chris Boucher,TOR,2/2/20,2019-20,W,25,15,5,10,50,1,4,25,4,4,100,1,4,5,1,2,0,1,3,21
Chandler Hutchison,CHI,2/2/20,2019-20,L,28,17,5,13,38.5,1,4,25,6,9,66.7,4,1,5,1,1,0,2,4,-28
Coby White,CHI,2/2/20,2019-20,L,25,12,4,13,30.8,4,11,36.4,0,0,-,0,1,1,5,0,0,0,1,-8
Terence Davis,TOR,2/2/20,2019-20,W,28,31,12,15,80,6,7,85.7,1,2,50,2,2,4,1,0,0,2,4,18
Denzel Valentine,CHI,2/2/20,2019-20,L,14,3,1,5,20,1,5,20,0,0,-,0,1,1,2,0,0,1,3,-11
Fred VanVleet,TOR,2/2/20,2019-20,W,32,12,5,11,45.5,2,6,33.3,0,0,-,2,2,4,8,1,0,3,3,17
Oshae Brissett,TOR,2/2/20,2019-20,W,3,2,1,1,100,0,0,-,0,0,-,0,1,1,0,1,0,1,0,3
Paul Watson,TOR,2/2/20,2019-20,W,3,1,0,0,-,0,0,-,1,2,50,0,1,1,1,0,0,0,0,3
OG Anunoby,TOR,2/2/20,2019-20,W,21,4,2,3,66.7,0,0,-,0,0,-,2,5,7,0,1,0,2,0,6
Pascal Siakam,TOR,2/2/20,2019-20,W,28,17,6,14,42.9,0,2,0,5,5,100,5,4,9,5,0,0,2,1,13
Stanley Johnson,TOR,2/2/20,2019-20,W,4,0,0,0,-,0,0,-,0,0,-,0,2,2,1,0,1,0,1,2
Serge Ibaka,TOR,2/2/20,2019-20,W,25,16,7,12,58.3,1,2,50,1,2,50,0,6,6,1,0,3,2,2,0
Kyle Lowry,TOR,2/2/20,2019-20,W,30,14,3,7,42.9,3,7,42.9,5,6,83.3,0,4,4,6,0,1,2,2,14
Adam Mokoka,CHI,2/2/20,2019-20,L,4,0,0,2,0,0,0,-,0,0,-,2,0,2,0,0,0,0,0,-2
Donte DiVincenzo,MIL,2/2/20,2019-20,W,22,15,6,12,50,2,7,28.6,1,2,50,0,2,2,1,2,0,2,3,15
Tariq Owens,PHX,2/2/20,2019-20,L,7,2,1,4,25,0,1,0,0,0,-,2,0,2,0,0,0,0,0,-12
Jared Harper,PHX,2/2/20,2019-20,L,2,0,0,1,0,0,1,0,0,0,-,0,0,0,0,0,0,0,0,-8
Elie Okobo,PHX,2/2/20,2019-20,L,26,2,1,4,25,0,1,0,0,0,-,0,1,1,4,1,0,2,4,-20
Devin Booker,PHX,2/2/20,2019-20,L,34,32,9,15,60,2,5,40,12,13,92.3,0,7,7,6,0,0,5,1,-13
Kelly Oubre Jr.,PHX,2/2/20,2019-20,L,36,15,5,20,25,1,6,16.7,4,4,100,4,6,10,2,1,0,0,5,-17
Mikal Bridges,PHX,2/2/20,2019-20,L,31,7,2,8,25,0,2,0,3,4,75,0,3,3,1,2,2,1,3,-2
Giannis Antetokounmpo,MIL,2/2/20,2019-20,W,31,30,10,21,47.6,1,5,20,9,16,56.3,6,13,19,9,1,1,7,3,3
Cheick Diallo,PHX,2/2/20,2019-20,L,26,11,5,9,55.6,0,0,-,1,2,50,1,6,7,1,0,0,0,3,-12
Jalen Lecque,PHX,2/2/20,2019-20,L,11,4,2,3,66.7,0,1,0,0,0,-,0,0,0,1,0,0,0,1,-6
Eric Bledsoe,MIL,2/2/20,2019-20,W,32,12,5,8,62.5,2,3,66.7,0,1,0,2,5,7,4,0,1,1,1,14
Wesley Matthews,MIL,2/2/20,2019-20,W,14,2,0,3,0,0,2,0,2,2,100,0,1,1,1,0,0,1,4,5
Brook Lopez,MIL,2/2/20,2019-20,W,33,17,7,16,43.8,1,6,16.7,2,2,100,2,2,4,1,0,8,0,4,6
Deandre Ayton,PHX,2/2/20,2019-20,L,30,20,10,27,37,0,0,-,0,0,-,8,6,14,2,1,1,2,4,-13
Ersan Ilyasova,MIL,2/2/20,2019-20,W,14,8,3,9,33.3,2,2,100,0,0,-,2,2,4,0,0,0,1,4,15
Robin Lopez,MIL,2/2/20,2019-20,W,13,0,0,1,0,0,0,-,0,0,-,1,4,5,3,1,0,0,0,15
Khris Middleton,MIL,2/2/20,2019-20,W,33,25,9,15,60,3,5,60,4,4,100,1,7,8,6,0,1,2,2,13
Pat Connaughton,MIL,2/2/20,2019-20,W,20,8,3,4,75,2,3,66.7,0,0,-,2,5,7,3,0,1,0,1,11
Sterling Brown,MIL,2/2/20,2019-20,W,10,4,2,3,66.7,0,1,0,0,0,-,0,2,2,0,0,0,0,2,-3
Kyle Korver,MIL,2/2/20,2019-20,W,19,8,3,5,60,2,4,50,0,0,-,0,1,1,2,0,0,2,1,11
Tyler Johnson,PHX,2/2/20,2019-20,L,10,0,0,3,0,0,1,0,0,0,-,0,1,1,1,0,0,0,1,2
Jevon Carter,PHX,2/2/20,2019-20,L,27,15,6,10,60,3,5,60,0,0,-,0,4,4,2,3,0,0,2,-4
Sekou Doumbouya,DET,2/2/20,2019-20,W,35,17,6,12,50,2,5,40,3,4,75,0,5,5,0,0,0,2,3,-12
Andre Drummond,DET,2/2/20,2019-20,W,30,21,9,17,52.9,0,0,-,3,4,75,6,11,17,4,0,2,2,6,-1
Jerami Grant,DEN,2/2/20,2019-20,L,45,14,5,11,45.5,2,6,33.3,2,2,100,2,2,4,0,1,3,1,3,-3
Thon Maker,DET,2/2/20,2019-20,W,6,4,2,2,100,0,0,-,0,0,-,0,0,0,1,0,0,1,0,4
Christian Wood,DET,2/2/20,2019-20,W,16,11,5,10,50,1,3,33.3,0,0,-,1,3,4,0,2,0,2,2,2
Langston Galloway,DET,2/2/20,2019-20,W,20,8,3,6,50,2,4,50,0,0,-,0,0,0,2,0,0,0,0,0
Derrick Rose,DET,2/2/20,2019-20,W,13,2,1,3,33.3,0,1,0,0,2,0,1,0,1,2,0,0,1,0,-4
Nikola Jokic,DEN,2/2/20,2019-20,L,40,39,16,23,69.6,1,3,33.3,6,7,85.7,0,10,10,11,3,2,2,4,13
Will Barton,DEN,2/2/20,2019-20,L,37,20,7,17,41.2,2,6,33.3,4,5,80,2,7,9,5,0,0,1,2,5
Gary Harris,DEN,2/2/20,2019-20,L,31,3,1,6,16.7,0,1,0,1,2,50,0,3,3,1,0,0,2,1,-17
Svi Mykhailiuk,DET,2/2/20,2019-20,W,35,13,3,9,33.3,1,6,16.7,6,8,75,0,1,1,4,2,0,1,3,-2
Reggie Jackson,DET,2/2/20,2019-20,W,34,20,8,18,44.4,2,4,50,2,2,100,1,2,3,6,0,0,0,2,19
Monte Morris,DEN,2/2/20,2019-20,L,39,19,8,15,53.3,2,7,28.6,1,1,100,3,4,7,7,1,0,0,2,2
Bruce Brown,DET,2/2/20,2019-20,W,38,19,7,10,70,3,3,100,2,2,100,2,8,10,8,0,0,0,5,15
Tony Snell,DET,2/2/20,2019-20,W,37,13,4,7,57.1,3,5,60,2,2,100,0,2,2,6,0,0,2,1,4
Torrey Craig,DEN,2/2/20,2019-20,L,19,5,2,3,66.7,1,2,50,0,1,0,0,3,3,0,0,1,0,2,1
PJ Dozier,DEN,2/2/20,2019-20,L,13,5,2,7,28.6,0,1,0,1,2,50,3,1,4,1,0,0,2,1,-7
Juancho Hernangomez,DEN,2/2/20,2019-20,L,12,2,0,3,0,0,1,0,2,2,100,3,2,5,1,0,0,1,2,-12
Malik Beasley,DEN,2/2/20,2019-20,L,24,12,5,9,55.6,2,5,40,0,0,-,0,1,1,4,1,0,0,0,-3
Jarred Vanderbilt,DEN,2/2/20,2019-20,L,5,4,2,2,100,0,0,-,0,0,-,1,0,1,0,1,1,0,2,-4
Jrue Holiday,NOP,2/2/20,2019-20,L,34,11,5,14,35.7,0,5,0,1,3,33.3,0,3,3,6,0,1,4,3,-2
JJ Redick,NOP,2/2/20,2019-20,L,14,0,0,3,0,0,2,0,0,0,-,0,0,0,0,0,0,0,3,-6
James Harden,HOU,2/2/20,2019-20,W,39,40,12,24,50,7,15,46.7,9,9,100,2,8,10,9,0,2,4,5,3
Ben McLemore,HOU,2/2/20,2019-20,W,24,22,6,12,50,4,9,44.4,6,8,75,0,0,0,0,2,0,0,0,14
Danuel House Jr.,HOU,2/2/20,2019-20,W,28,12,5,14,35.7,2,8,25,0,0,-,4,8,12,1,1,0,0,0,0
Josh Hart,NOP,2/2/20,2019-20,L,30,16,5,11,45.5,3,5,60,3,4,75,3,7,10,1,1,0,1,2,-20
Thabo Sefolosha,HOU,2/2/20,2019-20,W,18,4,1,2,50,1,2,50,1,2,50,0,3,3,1,3,1,0,3,7
P.J. Tucker,HOU,2/2/20,2019-20,W,39,0,0,5,0,0,2,0,0,0,-,2,7,9,0,1,0,1,4,1
E'Twaun Moore,NOP,2/2/20,2019-20,L,14,10,5,8,62.5,0,2,0,0,0,-,0,0,0,0,0,1,1,1,-6
Zion Williamson,NOP,2/2/20,2019-20,L,33,21,8,14,57.1,0,0,-,5,7,71.4,5,5,10,1,1,1,3,2,3
Russell Westbrook,HOU,2/2/20,2019-20,W,36,22,9,24,37.5,1,4,25,3,3,100,2,4,6,7,1,0,2,4,-1
Nicolo Melli,NOP,2/2/20,2019-20,L,12,2,1,4,25,0,2,0,0,0,-,0,4,4,0,1,1,1,0,-7
Derrick Favors,NOP,2/2/20,2019-20,L,24,9,4,7,57.1,0,0,-,1,1,100,5,6,11,1,0,0,3,1,11
Brandon Ingram,NOP,2/2/20,2019-20,L,38,28,10,23,43.5,5,11,45.5,3,3,100,1,11,12,3,0,0,4,2,-5
Jaxson Hayes,NOP,2/2/20,2019-20,L,4,2,1,3,33.3,0,0,-,0,0,-,1,1,2,0,0,0,0,0,-6
Eric Gordon,HOU,2/2/20,2019-20,W,33,9,4,12,33.3,1,7,14.3,0,0,-,1,0,1,2,4,0,0,2,1
Austin Rivers,HOU,2/2/20,2019-20,W,24,8,4,12,33.3,0,4,0,0,0,-,0,2,2,2,2,0,0,0,15
Lonzo Ball,NOP,2/2/20,2019-20,L,37,10,3,7,42.9,2,6,33.3,2,2,100,1,10,11,9,3,2,4,2,-2
Spencer Dinwiddie,BKN,2/1/20,2019-20,L,31,26,9,23,39.1,4,10,40,4,7,57.1,1,3,4,6,1,0,5,5,1
Garrett Temple,BKN,2/1/20,2019-20,L,37,17,6,14,42.9,4,10,40,1,1,100,1,4,5,1,1,1,1,3,-9
Troy Brown Jr.,WAS,2/1/20,2019-20,W,27,8,4,11,36.4,0,3,0,0,1,0,0,3,3,2,0,0,0,3,3
Isaac Bonga,WAS,2/1/20,2019-20,W,30,8,3,4,75,0,0,-,2,2,100,5,2,7,3,1,1,1,4,-3
Ish Smith,WAS,2/1/20,2019-20,W,25,11,5,12,41.7,1,2,50,0,0,-,1,4,5,4,0,0,2,1,1
Wilson Chandler,BKN,2/1/20,2019-20,L,19,2,0,1,0,0,1,0,2,2,100,0,3,3,0,0,0,0,1,4
Kyrie Irving,BKN,2/1/20,2019-20,L,29,11,5,12,41.7,1,5,20,0,0,-,2,2,4,4,1,1,6,4,-5
Joe Harris,BKN,2/1/20,2019-20,L,30,22,8,16,50,6,11,54.5,0,0,-,0,3,3,3,0,0,0,3,-11
Taurean Prince,BKN,2/1/20,2019-20,L,27,2,1,9,11.1,0,8,0,0,0,-,0,5,5,2,1,1,2,0,-8
Jarrett Allen,BKN,2/1/20,2019-20,L,27,13,5,6,83.3,0,0,-,3,7,42.9,3,12,15,5,0,2,0,3,-10
Caris LeVert,BKN,2/1/20,2019-20,L,19,6,2,9,22.2,1,2,50,1,2,50,2,1,3,1,0,0,0,0,4
Ian Mahinmi,WAS,2/1/20,2019-20,W,22,8,4,9,44.4,0,2,0,0,0,-,3,3,6,1,1,2,1,3,3
Davis Bertans,WAS,2/1/20,2019-20,W,30,11,3,7,42.9,3,7,42.9,2,2,100,2,5,7,3,1,1,1,2,11
Isaiah Thomas,WAS,2/1/20,2019-20,W,23,12,5,16,31.3,2,8,25,0,0,-,0,2,2,3,0,0,2,1,3
Bradley Beal,WAS,2/1/20,2019-20,W,36,34,11,23,47.8,2,7,28.6,10,15,66.7,1,5,6,2,3,3,2,2,7
Gary Payton II,WAS,2/1/20,2019-20,W,22,4,2,7,28.6,0,2,0,0,1,0,2,3,5,3,3,0,0,2,4
Thomas Bryant,WAS,2/1/20,2019-20,W,25,17,7,11,63.6,1,1,100,2,5,40,4,6,10,0,0,1,0,2,1
DeAndre Jordan,BKN,2/1/20,2019-20,L,21,8,3,4,75,0,0,-,2,2,100,3,8,11,3,1,2,1,3,4
JaVale McGee,LAL,2/1/20,2019-20,W,15,7,2,2,100,0,0,-,3,4,75,3,5,8,1,0,0,1,1,12
Danny Green,LAL,2/1/20,2019-20,W,22,9,3,8,37.5,3,8,37.5,0,0,-,2,2,4,3,2,1,2,1,14
Avery Bradley,LAL,2/1/20,2019-20,W,20,19,7,13,53.8,5,9,55.6,0,0,-,0,2,2,0,0,0,0,3,21
Anthony Davis,LAL,2/1/20,2019-20,W,30,21,5,9,55.6,1,2,50,10,10,100,1,3,4,6,2,1,2,1,20
Troy Daniels,LAL,2/1/20,2019-20,W,6,0,0,2,0,0,2,0,0,0,-,0,0,0,0,0,0,1,1,-6
Quinn Cook,LAL,2/1/20,2019-20,W,3,5,2,2,100,1,1,100,0,0,-,0,0,0,0,0,0,0,0,-4
Alex Caruso,LAL,2/1/20,2019-20,W,16,13,5,6,83.3,3,4,75,0,1,0,0,1,1,1,2,0,1,4,-13
Nemanja Bjelica,SAC,2/1/20,2019-20,L,30,9,3,8,37.5,3,8,37.5,0,0,-,2,1,3,3,0,1,1,5,-24
Harrison Barnes,SAC,2/1/20,2019-20,L,29,2,1,8,12.5,0,2,0,0,0,-,1,5,6,0,0,1,0,3,-19
Bogdan Bogdanovic,SAC,2/1/20,2019-20,L,28,8,3,8,37.5,1,6,16.7,1,1,100,0,2,2,1,1,0,1,3,-16
Yogi Ferrell,SAC,2/1/20,2019-20,L,8,3,1,5,20,0,2,0,1,1,100,0,1,1,3,0,0,2,0,11
De'Aaron Fox,SAC,2/1/20,2019-20,L,33,24,7,17,41.2,0,2,0,10,13,76.9,1,5,6,5,0,1,7,1,-15
Eric Mika,SAC,2/1/20,2019-20,L,19,6,2,3,66.7,0,0,-,2,2,100,2,5,7,0,0,0,0,5,8
Justin James,SAC,2/1/20,2019-20,L,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0
LeBron James,LAL,2/1/20,2019-20,W,34,15,6,15,40,1,4,25,2,3,66.7,0,10,10,11,2,0,2,3,33
Dwight Howard,LAL,2/1/20,2019-20,W,18,0,0,1,0,0,0,-,0,0,-,3,6,9,0,0,2,2,4,-4
Rajon Rondo,LAL,2/1/20,2019-20,W,27,13,6,11,54.5,1,5,20,0,0,-,0,3,3,8,2,0,1,0,-3
Anthony Tolliver,SAC,2/1/20,2019-20,L,10,4,1,2,50,1,2,50,1,2,50,0,0,0,0,2,0,0,0,4
Kentavious Caldwell-Pope,LAL,2/1/20,2019-20,W,26,15,4,7,57.1,3,6,50,4,5,80,1,1,2,2,0,0,1,1,9
Buddy Hield,SAC,2/1/20,2019-20,L,30,22,8,16,50,6,13,46.2,0,0,-,2,2,4,2,1,1,2,2,-10
Harry Giles III,SAC,2/1/20,2019-20,L,17,16,7,8,87.5,0,0,-,2,2,100,3,5,8,1,0,0,1,1,-13
Kyle Kuzma,LAL,2/1/20,2019-20,W,20,12,4,10,40,1,2,50,3,4,75,1,1,2,1,0,1,1,3,5
Kent Bazemore,SAC,2/1/20,2019-20,L,13,10,3,7,42.9,0,3,0,4,5,80,1,0,1,1,1,0,0,2,-6
Cory Joseph,SAC,2/1/20,2019-20,L,24,9,3,9,33.3,3,6,50,0,0,-,1,5,6,5,0,0,2,2,0
Jared Dudley,LAL,2/1/20,2019-20,W,3,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,-4
Damian Jones,ATL,2/1/20,2019-20,L,31,8,3,6,50,0,0,-,2,2,100,1,11,12,1,2,1,0,2,-15
Kevin Huerter,ATL,2/1/20,2019-20,L,40,20,7,12,58.3,6,10,60,0,0,-,0,1,1,3,1,0,2,0,-22
Trae Young,ATL,2/1/20,2019-20,L,26,12,4,13,30.8,1,6,16.7,3,4,75,1,5,6,1,0,0,4,2,-13
Cam Reddish,ATL,2/1/20,2019-20,L,7,0,0,3,0,0,2,0,0,0,-,0,0,0,1,0,2,0,1,-4
Charles Brown Jr.,ATL,2/1/20,2019-20,L,3,2,1,2,50,0,1,0,0,0,-,0,0,0,0,0,0,1,1,1
